Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Donor24_TrypLysC_A Spectral Count	Donor24_TrypLysC_B Spectral Count	Donor24_TrypLysC_C Spectral Count	Donor24_TrypLysC_D Spectral Count	Donor24_TrypLysC_E Spectral Count	Donor24_TrypLysC_F Spectral Count	Donor24_TrypLysC_FT Spectral Count	Donor24_TrypLysC_G Spectral Count	Donor24_TrypLysC_H Spectral Count	Donor29_TrypLysC_A Spectral Count	Donor29_TrypLysC_B Spectral Count	Donor29_TrypLysC_C Spectral Count	Donor29_TrypLysC_D Spectral Count	Donor29_TrypLysC_E Spectral Count	Donor29_TrypLysC_F Spectral Count	Donor29_TrypLysC_FT Spectral Count	Donor29_TrypLysC_G Spectral Count	Donor29_TrypLysC_H Spectral Count	Donor30_TrypLysC_A Spectral Count	Donor30_TrypLysC_B Spectral Count	Donor30_TrypLysC_C Spectral Count	Donor30_TrypLysC_D Spectral Count	Donor30_TrypLysC_E Spectral Count	Donor30_TrypLysC_F Spectral Count	Donor30_TrypLysC_FT Spectral Count	Donor30_TrypLysC_G Spectral Count	Donor30_TrypLysC_H Spectral Count	Donor24_TrypLysC_A Unique Spectral Count	Donor24_TrypLysC_B Unique Spectral Count	Donor24_TrypLysC_C Unique Spectral Count	Donor24_TrypLysC_D Unique Spectral Count	Donor24_TrypLysC_E Unique Spectral Count	Donor24_TrypLysC_F Unique Spectral Count	Donor24_TrypLysC_FT Unique Spectral Count	Donor24_TrypLysC_G Unique Spectral Count	Donor24_TrypLysC_H Unique Spectral Count	Donor29_TrypLysC_A Unique Spectral Count	Donor29_TrypLysC_B Unique Spectral Count	Donor29_TrypLysC_C Unique Spectral Count	Donor29_TrypLysC_D Unique Spectral Count	Donor29_TrypLysC_E Unique Spectral Count	Donor29_TrypLysC_F Unique Spectral Count	Donor29_TrypLysC_FT Unique Spectral Count	Donor29_TrypLysC_G Unique Spectral Count	Donor29_TrypLysC_H Unique Spectral Count	Donor30_TrypLysC_A Unique Spectral Count	Donor30_TrypLysC_B Unique Spectral Count	Donor30_TrypLysC_C Unique Spectral Count	Donor30_TrypLysC_D Unique Spectral Count	Donor30_TrypLysC_E Unique Spectral Count	Donor30_TrypLysC_F Unique Spectral Count	Donor30_TrypLysC_FT Unique Spectral Count	Donor30_TrypLysC_G Unique Spectral Count	Donor30_TrypLysC_H Unique Spectral Count	Donor24_TrypLysC_A Total Spectral Count	Donor24_TrypLysC_B Total Spectral Count	Donor24_TrypLysC_C Total Spectral Count	Donor24_TrypLysC_D Total Spectral Count	Donor24_TrypLysC_E Total Spectral Count	Donor24_TrypLysC_F Total Spectral Count	Donor24_TrypLysC_FT Total Spectral Count	Donor24_TrypLysC_G Total Spectral Count	Donor24_TrypLysC_H Total Spectral Count	Donor29_TrypLysC_A Total Spectral Count	Donor29_TrypLysC_B Total Spectral Count	Donor29_TrypLysC_C Total Spectral Count	Donor29_TrypLysC_D Total Spectral Count	Donor29_TrypLysC_E Total Spectral Count	Donor29_TrypLysC_F Total Spectral Count	Donor29_TrypLysC_FT Total Spectral Count	Donor29_TrypLysC_G Total Spectral Count	Donor29_TrypLysC_H Total Spectral Count	Donor30_TrypLysC_A Total Spectral Count	Donor30_TrypLysC_B Total Spectral Count	Donor30_TrypLysC_C Total Spectral Count	Donor30_TrypLysC_D Total Spectral Count	Donor30_TrypLysC_E Total Spectral Count	Donor30_TrypLysC_F Total Spectral Count	Donor30_TrypLysC_FT Total Spectral Count	Donor30_TrypLysC_G Total Spectral Count	Donor30_TrypLysC_H Total Spectral Count	Donor24_TrypLysC_A Intensity	Donor24_TrypLysC_B Intensity	Donor24_TrypLysC_C Intensity	Donor24_TrypLysC_D Intensity	Donor24_TrypLysC_E Intensity	Donor24_TrypLysC_F Intensity	Donor24_TrypLysC_FT Intensity	Donor24_TrypLysC_G Intensity	Donor24_TrypLysC_H Intensity	Donor29_TrypLysC_A Intensity	Donor29_TrypLysC_B Intensity	Donor29_TrypLysC_C Intensity	Donor29_TrypLysC_D Intensity	Donor29_TrypLysC_E Intensity	Donor29_TrypLysC_F Intensity	Donor29_TrypLysC_FT Intensity	Donor29_TrypLysC_G Intensity	Donor29_TrypLysC_H Intensity	Donor30_TrypLysC_A Intensity	Donor30_TrypLysC_B Intensity	Donor30_TrypLysC_C Intensity	Donor30_TrypLysC_D Intensity	Donor30_TrypLysC_E Intensity	Donor30_TrypLysC_F Intensity	Donor30_TrypLysC_FT Intensity	Donor30_TrypLysC_G Intensity	Donor30_TrypLysC_H Intensity	Donor24_TrypLysC_A MaxLFQ Intensity	Donor24_TrypLysC_B MaxLFQ Intensity	Donor24_TrypLysC_C MaxLFQ Intensity	Donor24_TrypLysC_D MaxLFQ Intensity	Donor24_TrypLysC_E MaxLFQ Intensity	Donor24_TrypLysC_F MaxLFQ Intensity	Donor24_TrypLysC_FT MaxLFQ Intensity	Donor24_TrypLysC_G MaxLFQ Intensity	Donor24_TrypLysC_H MaxLFQ Intensity	Donor29_TrypLysC_A MaxLFQ Intensity	Donor29_TrypLysC_B MaxLFQ Intensity	Donor29_TrypLysC_C MaxLFQ Intensity	Donor29_TrypLysC_D MaxLFQ Intensity	Donor29_TrypLysC_E MaxLFQ Intensity	Donor29_TrypLysC_F MaxLFQ Intensity	Donor29_TrypLysC_FT MaxLFQ Intensity	Donor29_TrypLysC_G MaxLFQ Intensity	Donor29_TrypLysC_H MaxLFQ Intensity	Donor30_TrypLysC_A MaxLFQ Intensity	Donor30_TrypLysC_B MaxLFQ Intensity	Donor30_TrypLysC_C MaxLFQ Intensity	Donor30_TrypLysC_D MaxLFQ Intensity	Donor30_TrypLysC_E MaxLFQ Intensity	Donor30_TrypLysC_F MaxLFQ Intensity	Donor30_TrypLysC_FT MaxLFQ Intensity	Donor30_TrypLysC_G MaxLFQ Intensity	Donor30_TrypLysC_H MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa OX=9823	1:Experimental evidence at protein level	Trypsin	1.0	0.999	5	213	213	213	2	7	18	18	12	8	2	6	2	2	5	16	14	15	9	1	3	0	4	6	14	19	11	11	2	4	2	2	7	18	18	12	8	2	6	2	2	5	16	14	15	9	1	3	0	4	6	14	19	11	11	2	4	2	2	7	18	18	12	8	2	6	2	2	5	16	14	15	9	1	3	0	4	6	14	19	11	11	2	4	2	2.02738E8	1.92547424E8	1.61220128E8	2.0373296E8	1.8993104E8	2.0384072E8	1.23537032E8	1.2103876E8	1.15899008E8	1.949476E8	1.5194896E8	1.73267072E8	2.88881088E8	2.4501632E8	2.86845594E9	1.05321112E8	1.48700512E8	8.35016E7	8.4292368E7	1.12847408E8	1.59164288E8	2.31878032E8	2.23790048E8	2.07014349E9	9.1528672E7	1.91358704E8	1.0614732E8	1.30812496E8	1.50594672E8	6.49029E7	6.3933136E7	4.7301492E7	6.4014824E7	1.07005368E8	5.4983156E7	6.6048184E7	1.60093312E8	1.19748592E8	7.7665376E7	8.680064E7	5.9253848E7	9.5664915E8	9.344572E7	9.5563248E7	5.4838476E7	7.7668352E7	9.7905912E7	6.555706E7	6.6294928E7	5.2357004E7	6.0377926E8	7.4516224E7	5.9354008E7	7.9466248E7	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus OX=9913	1:Experimental evidence at protein level	Alpha-S1-casein	0.68	0.9943	1	4	4	4	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	9281604.0	0.0	4374422.5	0.0	0.0	0.0	0.0	0.0	3556496.8	5.4500016E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2218066.8	0.0	0.0	3841255.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus OX=9913	1:Experimental evidence at protein level	Alpha-S2-casein	1.0	0.9931	2	5	5	5	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	2.3932318E7	0.0	9443914.0	5.7543384E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5995791E7	0.0	0.0	3.2837012E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus OX=9913	1:Experimental evidence at protein level	Albumin	1.0	0.999	18	15	15	570	0	2	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	1	5	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	1	5	0	0	0	0	136	172	0	18	0	0	0	0	0	0	0	35	0	11	0	0	0	0	0	169	0	17	12	0	0	0	4.1486508E7	3.3338108E7	1.030244E7	0.0	0.0	0.0	1.2817868E7	0.0	0.0	3.003809E7	4.0433296E7	1.7168372E7	999661.9	0.0	2.34483046E9	0.0	0.0	0.0	7.0507536E7	0.0	1.974969E7	0.0	636313.56	4.0772896E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73448256E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51752064E8	0.0	0.0	0.0	
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	1.0	0.999	5	96	33	96	2	4	6	11	9	5	0	1	2	1	1	8	6	5	5	0	2	0	1	4	5	6	5	1	1	4	1	1	2	2	4	3	1	0	0	0	0	0	3	2	2	2	0	0	0	0	2	2	4	2	0	0	1	0	2	4	6	11	9	5	0	1	2	1	1	8	6	5	5	0	2	0	1	4	5	6	5	1	1	4	1	9.0077664E7	9.1199208E7	1.81716016E8	4.07017536E8	5.21840256E8	1.0474119E7	1.03332416E8	5.4103846E8	6.4184256E8	1.54300416E8	6.761732E7	1.14635768E8	3.99145536E8	3.95781376E8	2.77013862E9	1.12016488E8	4.75295232E8	4.41613152E8	2.9347362E7	9.1394128E7	1.18065792E8	4.7188688E8	4.54661856E8	5.21689184E8	1.01318296E8	5.4393088E8	5.7224666E8	5.5316068E7	1.88720912E8	3.25794592E8	2.1312568E8	1.96126416E8	2.1384892E7	0.0	2.61868976E8	4.05594656E8	2.33431968E8	1.37783072E8	1.79179392E8	2.41864656E8	1.47771664E8	1.15518349E9	0.0	2.46446208E8	0.0	0.0	1.1615584E8	1.10681392E8	4.01383648E8	4.0656288E8	2.8571584E8	0.0	2.51415168E8	3.94397984E8	
sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	IGLV4-69	119	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 4-69	1.0	0.999	4	20	20	20	0	0	0	4	4	0	0	0	0	0	1	0	2	3	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	4	4	0	0	0	0	0	1	0	2	3	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	4	4	0	0	0	0	0	1	0	2	3	1	0	0	0	0	0	0	2	3	0	0	0	0	0.0	0.0	0.0	2.2438056E7	4.2103756E7	3.2262016E7	0.0	0.0	0.0	0.0	0.0	0.0	6885038.5	1.1781574E7	7.0236704E7	0.0	5111831.0	0.0	0.0	0.0	0.0	2.2551312E7	2.626895E7	1.7341014E7	0.0	6560656.0	0.0	0.0	0.0	0.0	1.7426002E7	2.8552E7	2.0996192E7	0.0	0.0	0.0	0.0	0.0	0.0	4146537.2	7376309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6558179E7	1.753435E7	1.3612054E7	0.0	0.0	0.0	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 8-61	1.0	0.9986	2	5	5	5	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.921932E7	1.8993878E7	9628383.0	0.0	4.0897784E7	0.0	0.0	0.0	0.0	1.338682E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I1|LV460_HUMAN	A0A075B6I1	LV460_HUMAN	IGLV4-60	120	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 4-60	1.0	0.999	2	7	7	7	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	2.8046604E7	0.0	0.0	0.0	7631013.0	8997041.0	0.0	4504998.5	0.0	0.0	0.0	0.0	0.0	5249725.0	2.4365666E7	0.0	0.0	0.0	0.0	1.7062228E7	0.0	1795150.1	4853673.0	0.0	0.0	1952210.5	0.0	0.0	0.0	0.0	0.0	5498598.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3910694.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I4|LVX54_HUMAN	A0A075B6I4	LVX54_HUMAN	IGLV10-54	117	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 10-54	1.0	0.999	2	15	15	15	3	0	1	2	1	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	1	2	1	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	1	2	1	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	7.0255392E7	6241568.5	5732667.5	441331.9	0.0	0.0	0.0	0.0	0.0	5.2178856E7	2.2066098E7	2616344.5	0.0	0.0	0.0	0.0	0.0	0.0	1.3002639E7	5.8615296E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0020472E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.999444E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.357614E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 7-46	1.0	0.9988	4	48	13	48	3	2	3	3	3	2	1	1	1	1	3	2	3	3	1	1	1	1	1	2	2	2	3	1	1	0	1	1	0	1	1	2	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	2	0	0	0	0	3	2	3	3	3	2	1	1	1	1	3	2	3	3	1	1	1	1	1	2	2	2	3	1	1	0	1	8.0720608E7	5.0000596E7	4.946054E7	3.2751624E7	1.987161E7	2.1874824E7	3.276443E7	2.0077908E7	2.739296E7	1.01650496E8	6.53751E7	4.8371516E7	3.8493908E7	2.2398096E7	1.8400536E8	1.2191645E7	2.7256298E7	3.206224E7	0.0	4.3835956E7	3.9648224E7	3.010094E7	1.6844998E7	1.7199616E7	2.5350868E7	2.0027708E7	2.4224926E7	5.998618E7	3.645916E7	4.0555348E7	1.7116884E7	6484117.5	1.6731096E7	3.3319808E7	0.0	0.0	7.9090496E7	4.8667076E7	3.7937652E7	2.104044E7	9097255.0	1.20657168E8	0.0	0.0	0.0	0.0	3.4145068E7	2.4263116E7	2.1188278E7	9109237.0	0.0	2.5746612E7	9903695.0	0.0	
