Protein Group,Protein ID,Accession,Score (%),-10lgP,Coverage (%),Coverage (%) Donor29_Thermolysin_FT,Coverage (%) Donor30_Thermolysin_A,Coverage (%) Donor30_Thermolysin_B,Coverage (%) Donor30_Thermolysin_C,Coverage (%) Donor30_Thermolysin_D,Coverage (%) Donor30_Thermolysin_E,Coverage (%) Donor30_Thermolysin_F,Coverage (%) Donor30_Thermolysin_G,Coverage (%) Donor30_Thermolysin_H,Coverage (%) Donor30_Thermolysin_FT,Coverage (%) Donor29_Thermolysin_A,Coverage (%) Donor29_Thermolysin_B,Coverage (%) Donor29_Thermolysin_C,Coverage (%) Donor29_Thermolysin_D,Coverage (%) Donor29_Thermolysin_E,Coverage (%) Donor29_Thermolysin_F,Coverage (%) Donor29_Thermolysin_G,Coverage (%) Donor29_Thermolysin_H,Coverage (%) Donor29_TrypLysC_A,Coverage (%) Donor29_TrypLysC_B,Coverage (%) Donor29_TrypLysC_C,Coverage (%) Donor29_TrypLysC_D,Coverage (%) Donor29_TrypLysC_E,Coverage (%) Donor29_TrypLysC_F,Coverage (%) Donor29_TrypLysC_G,Coverage (%) Donor29_TrypLysC_H,Coverage (%) Donor29_TrypLysC_FT,Coverage (%) Donor30_TrypLysC_A,Coverage (%) Donor30_TrypLysC_B,Coverage (%) Donor30_TrypLysC_C,Coverage (%) Donor30_TrypLysC_D,Coverage (%) Donor30_TrypLysC_E,Coverage (%) Donor30_TrypLysC_F,Coverage (%) Donor30_TrypLysC_G,Coverage (%) Donor30_TrypLysC_H,Coverage (%) Donor24_TrypLysC_A,Coverage (%) Donor24_TrypLysC_B,Coverage (%) Donor24_TrypLysC_C,Coverage (%) Donor24_TrypLysC_D,Coverage (%) Donor24_TrypLysC_E,Coverage (%) Donor24_TrypLysC_FT,Coverage (%) Donor24_TrypLysC_F,Coverage (%) Donor24_TrypLysC_G,Coverage (%) Donor24_TrypLysC_H,Coverage (%) Donor24_Thermolysin_A,Coverage (%) Donor24_Thermolysin_B,Coverage (%) Donor24_Thermolysin_C,Coverage (%) Donor24_Thermolysin_D,Coverage (%) Donor24_Thermolysin_E,Coverage (%) Donor24_Thermolysin_FT,Coverage (%) Donor24_Thermolysin_F,Coverage (%) Donor24_Thermolysin_G,Coverage (%) Donor24_Thermolysin_H,Area Donor29_Thermolysin_FT,Area Donor30_Thermolysin_A,Area Donor30_Thermolysin_B,Area Donor30_Thermolysin_C,Area Donor30_Thermolysin_D,Area Donor30_Thermolysin_E,Area Donor30_Thermolysin_F,Area Donor30_Thermolysin_G,Area Donor30_Thermolysin_H,Area Donor30_Thermolysin_FT,Area Donor29_Thermolysin_A,Area Donor29_Thermolysin_B,Area Donor29_Thermolysin_C,Area Donor29_Thermolysin_D,Area Donor29_Thermolysin_E,Area Donor29_Thermolysin_F,Area Donor29_Thermolysin_G,Area Donor29_Thermolysin_H,Area Donor29_TrypLysC_A,Area Donor29_TrypLysC_B,Area Donor29_TrypLysC_C,Area Donor29_TrypLysC_D,Area Donor29_TrypLysC_E,Area Donor29_TrypLysC_F,Area Donor29_TrypLysC_G,Area Donor29_TrypLysC_H,Area Donor29_TrypLysC_FT,Area Donor30_TrypLysC_A,Area Donor30_TrypLysC_B,Area Donor30_TrypLysC_C,Area Donor30_TrypLysC_D,Area Donor30_TrypLysC_E,Area Donor30_TrypLysC_F,Area Donor30_TrypLysC_G,Area Donor30_TrypLysC_H,Area Donor24_TrypLysC_A,Area Donor24_TrypLysC_B,Area Donor24_TrypLysC_C,Area Donor24_TrypLysC_D,Area Donor24_TrypLysC_E,Area Donor24_TrypLysC_FT,Area Donor24_TrypLysC_F,Area Donor24_TrypLysC_G,Area Donor24_TrypLysC_H,Area Donor24_Thermolysin_A,Area Donor24_Thermolysin_B,Area Donor24_Thermolysin_C,Area Donor24_Thermolysin_D,Area Donor24_Thermolysin_E,Area Donor24_Thermolysin_FT,Area Donor24_Thermolysin_F,Area Donor24_Thermolysin_G,Area Donor24_Thermolysin_H,#Peptides,#Unique,#Spec Donor29_Thermolysin_FT,#Spec Donor30_Thermolysin_A,#Spec Donor30_Thermolysin_B,#Spec Donor30_Thermolysin_C,#Spec Donor30_Thermolysin_D,#Spec Donor30_Thermolysin_E,#Spec Donor30_Thermolysin_F,#Spec Donor30_Thermolysin_G,#Spec Donor30_Thermolysin_H,#Spec Donor30_Thermolysin_FT,#Spec Donor29_Thermolysin_A,#Spec Donor29_Thermolysin_B,#Spec Donor29_Thermolysin_C,#Spec Donor29_Thermolysin_D,#Spec Donor29_Thermolysin_E,#Spec Donor29_Thermolysin_F,#Spec Donor29_Thermolysin_G,#Spec Donor29_Thermolysin_H,#Spec Donor29_TrypLysC_A,#Spec Donor29_TrypLysC_B,#Spec Donor29_TrypLysC_C,#Spec Donor29_TrypLysC_D,#Spec Donor29_TrypLysC_E,#Spec Donor29_TrypLysC_F,#Spec Donor29_TrypLysC_G,#Spec Donor29_TrypLysC_H,#Spec Donor29_TrypLysC_FT,#Spec Donor30_TrypLysC_A,#Spec Donor30_TrypLysC_B,#Spec Donor30_TrypLysC_C,#Spec Donor30_TrypLysC_D,#Spec Donor30_TrypLysC_E,#Spec Donor30_TrypLysC_F,#Spec Donor30_TrypLysC_G,#Spec Donor30_TrypLysC_H,#Spec Donor24_TrypLysC_A,#Spec Donor24_TrypLysC_B,#Spec Donor24_TrypLysC_C,#Spec Donor24_TrypLysC_D,#Spec Donor24_TrypLysC_E,#Spec Donor24_TrypLysC_FT,#Spec Donor24_TrypLysC_F,#Spec Donor24_TrypLysC_G,#Spec Donor24_TrypLysC_H,#Spec Donor24_Thermolysin_A,#Spec Donor24_Thermolysin_B,#Spec Donor24_Thermolysin_C,#Spec Donor24_Thermolysin_D,#Spec Donor24_Thermolysin_E,#Spec Donor24_Thermolysin_FT,#Spec Donor24_Thermolysin_F,#Spec Donor24_Thermolysin_G,#Spec Donor24_Thermolysin_H,PTM,Avg. Mass,Description
2,20,P01023|A2MG_HUMAN,99.2,531.13,91,21,32,57,65,61,30,21,6,1,4,31,54,66,65,32,15,10,1,20,31,51,61,67,60,42,24,21,22,32,48,59,62,56,43,27,23,36,52,62,70,24,68,59,28,35,58,63,61,29,5,9,1,2,1.5832E8,8.7708E9,2.7894E10,3.1151E10,7.0425E9,5.5434E8,2.3938E8,5.1619E7,4.1382E6,1.4055E8,7.6981E9,3.5182E10,3.9735E10,7.4259E9,9.2745E8,1.9037E8,8.1789E7,7.3012E6,1.1037E10,3.7911E10,2.9806E10,3.2437E10,1.6442E10,4.3791E9,1.1593E9,2.0168E8,2.4764E8,1.8273E10,6.1623E10,3.8831E10,2.6169E10,1.1962E10,3.1865E9,1.7147E9,4.2851E8,2.434E10,5.8024E10,4.6537E10,4.4317E10,2.4675E10,4.9598E8,6.3178E9,2.3858E9,4.1893E8,8.6861E9,2.1511E10,1.6618E10,4.095E9,4.7507E8,7.3959E6,4.9535E7,2.794E6,4.5813E6,404,355,38,91,257,324,270,59,32,10,2,8,83,252,361,267,77,22,16,2,115,212,283,398,349,205,83,37,41,125,254,290,336,341,160,105,43,141,219,350,454,471,60,269,144,47,95,244,281,213,53,6,14,1,3,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (ST); Methylation(K); 5 more,163290,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3
1,1,P02768|ALBU_HUMAN,99.2,514.48,94,45,58,70,75,74,43,39,18,6,18,58,71,74,72,54,25,17,6,51,59,69,80,79,63,51,24,56,52,60,75,77,78,73,58,35,57,62,73,77,79,56,63,62,47,57,66,70,67,44,18,15,1,2,9.3458E8,4.9951E10,1.0311E11,8.8596E10,1.636E10,1.0976E9,4.1868E8,6.0328E7,9.1568E6,1.9696E9,5.8794E10,1.4951E11,9.4643E10,1.3398E10,1.3576E9,1.945E8,6.0361E7,2.9264E7,6.9572E10,1.0656E11,1.0754E11,6.7134E10,2.1842E10,4.2589E9,1.459E9,3.2238E8,2.3554E9,1.2224E11,1.9339E11,1.5497E11,5.7884E10,1.8554E10,3.4593E9,1.9227E9,6.3548E8,1.1812E11,1.7808E11,1.8307E11,1.1778E11,4.1453E10,5.5838E9,7.8811E9,4.6541E9,1.0244E9,4.3025E10,7.7413E10,4.3185E10,7.3429E9,4.4668E8,4.9017E7,2.5297E7,3.0722E6,8.7958E5,272,272,59,203,301,297,221,38,32,13,4,23,222,406,288,210,58,16,10,4,421,418,509,339,215,119,59,23,71,640,741,605,347,223,100,78,34,654,726,668,459,325,119,162,154,61,163,254,260,167,37,11,9,2,1,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (Y); Phosphorylation (ST); 5 more,69367,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2
3,17,P01024|CO3_HUMAN,99.2,511.55,94,11,39,57,60,55,20,12,2,0,1,35,53,60,52,23,7,7,1,26,42,57,70,70,55,35,17,22,27,41,60,67,64,55,38,22,28,41,61,69,75,22,57,55,23,37,57,59,56,16,1,1,0,0,1.1336E8,1.1571E10,1.6052E10,1.2622E10,3.3169E9,2.0054E8,7.9593E7,1.2781E6,3.7682E5,7.3933E6,8.9914E9,1.7531E10,1.3127E10,3.62E9,7.5171E8,1.6184E8,5.4847E7,1.4039E6,1.156E10,2.2839E10,2.299E10,2.1825E10,1.2518E10,3.7147E9,9.1813E8,2.3403E8,1.5193E8,1.0614E10,2.8869E10,2.5284E10,1.1956E10,7.3779E9,1.6926E9,1.0818E9,3.707E8,1.3914E10,2.3023E10,2.3121E10,1.924E10,1.2936E10,2.2657E8,2.8832E9,1.2968E9,3.1711E8,1.1015E10,1.7896E10,9.0086E9,2.5016E9,1.7059E8,7.6796E6,3.5053E6,,,419,419,26,137,227,232,171,36,20,4,1,1,122,216,240,151,47,11,10,1,114,197,266,349,302,167,73,33,44,106,197,248,268,237,126,87,42,116,201,262,332,305,44,154,121,46,119,239,230,163,28,2,2,0,0,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Dimethylation (K); Trimethylation (K); 2 more,187147,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2
11,70,P04114|APOB_HUMAN,99.2,482.73,69,1,8,16,19,13,1,0,0,0,0,7,19,21,18,2,1,0,0,7,17,29,27,22,13,3,1,1,9,23,34,36,30,15,15,5,14,23,37,43,41,7,28,12,6,6,11,12,5,0,0,0,0,0,2.3284E6,3.9189E8,7.7772E8,7.8894E8,2.004E8,2.7384E6,9.5561E5,,,3.1182E6,6.3653E8,1.1919E9,1.0737E9,4.4809E8,1.3324E7,1.0952E6,2.918E5,,2.206E8,5.7701E8,6.5609E8,5.0465E8,2.4362E8,8.0376E7,9.2664E6,2.7542E6,1.2595E6,5.4628E8,1.7881E9,1.9782E9,1.238E9,5.0061E8,1.0619E8,6.6982E7,1.8015E7,1.1648E9,2.2077E9,3.1536E9,2.8237E9,1.4136E9,2.2876E7,3.0342E8,1.3087E8,2.0459E7,2.0922E8,3.2371E8,1.3988E8,3.9136E7,,,,,,467,467,4,41,87,97,66,3,1,0,0,2,50,103,113,93,10,2,1,0,40,99,141,125,86,46,13,6,6,59,136,200,195,140,54,59,22,85,147,240,243,217,36,116,50,26,32,56,52,25,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Dimethylation (K); Sodium adduct,515611,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2
9,40,P0C0L4|CO4A_HUMAN,99.2,458.19,80,6,21,40,43,38,9,6,3,0,3,17,43,45,34,10,5,5,0,17,20,37,48,51,41,25,12,14,16,21,34,44,44,31,30,16,15,23,37,47,48,17,44,36,21,19,40,45,39,10,0,1,0,0,3.0471E5,6.6741E7,1.2923E8,7.5796E7,1.9875E7,7.7424E5,4.9169E5,,,6.6753E6,1.1461E8,1.4036E8,7.0304E7,2.1992E7,,,,,9.6125E7,1.1965E8,1.198E8,2.6629E8,3.5304E8,2.0486E8,1.3332E7,1.1424E6,4.7865E6,1.307E8,1.2693E7,7.561E7,7.1014E7,1.7421E8,1.1323E8,3.5885E7,1.9683E6,1.2782E8,7.2745E4,9.6846E7,1.4294E8,2.6686E8,1.5791E7,7.3302E7,7.298E7,3.1784E6,1.7571E8,1.7034E8,4.3882E7,6.7187E6,8.3564E5,,,,,319,17,14,52,113,149,105,15,11,4,0,5,41,126,142,96,17,7,7,0,60,75,158,172,159,98,48,25,33,53,73,133,137,124,63,66,33,52,76,144,149,141,39,105,80,39,48,134,161,102,17,1,2,0,0,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Dimethylation (K); Trimethylation (K); 2 more,192784,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2
10,42,P0C0L5|CO4B_HUMAN,99.2,457.20,79,6,21,41,42,38,8,6,3,0,3,19,42,43,33,10,5,5,0,17,20,37,47,51,41,25,13,14,17,21,35,43,45,31,31,16,16,23,36,46,48,18,46,37,21,19,40,44,38,10,0,1,0,0,,6.2774E7,1.2029E8,2.7846E7,7.5085E6,,,,,4.1528E6,4.2984E7,1.4322E8,4.736E6,2.4751E6,,,,,9.5238E7,2.5029E8,4.4442E8,5.1626E8,1.9641E8,4.4652E7,1.2167E6,1.0482E6,6.3231E6,7.8648E7,1.7705E8,3.9952E8,2.4855E8,1.1749E8,3.8628E7,1.3656E7,,3.8315E7,1.0917E8,3.1204E8,3.5539E8,1.9896E8,5.0045E6,4.113E7,4.6222E6,6.3496E5,9.737E6,2.8886E8,2.5878E7,4.2534E6,,,,,,316,14,13,53,114,139,104,14,10,4,0,5,45,124,132,91,17,7,7,0,62,79,161,176,156,97,51,26,32,52,76,141,142,125,61,66,32,51,79,145,149,140,40,104,79,39,47,133,157,102,16,1,2,0,0,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Dimethylation (K); Trimethylation (K); 2 more,192750,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2
26,31,P00450|CERU_HUMAN,99.2,446.16,82,4,21,36,46,35,10,8,6,0,1,22,41,46,31,11,1,2,0,14,17,34,43,55,23,8,4,7,13,17,31,43,45,21,11,5,12,21,33,53,60,9,31,20,7,21,39,46,33,10,0,0,0,0,5.2822E7,6.2899E8,1.9598E9,2.0236E9,3.3716E8,2.5829E7,9.7673E6,4.2223E6,,3.8267E6,8.9248E8,2.5181E9,2.6025E9,4.7694E8,3.5255E7,1.2405E6,5.3064E5,,1.3289E9,2.9268E9,2.307E9,2.2354E9,2.0285E9,4.1949E8,1.3028E8,1.747E7,9.5183E6,1.1559E9,3.62E9,2.2303E9,1.5593E9,1.1447E9,2.461E8,1.0738E8,2.306E7,1.2838E9,2.7215E9,2.3643E9,2.9709E9,1.907E9,4.3786E7,5.5264E8,2.8855E8,3.4014E7,8.1025E8,2.2323E9,1.3763E9,3.1825E8,2.7721E7,,,,,167,167,4,28,64,87,59,13,9,7,0,1,34,82,88,50,14,1,2,0,35,49,84,108,99,35,10,4,8,37,39,84,87,69,22,10,4,34,51,80,117,93,12,44,22,7,34,75,80,51,14,0,0,0,0,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Methylation(K); Dimethylation (K); 3 more,122205,Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1
4,16,P02675|FIBB_HUMAN,99.2,439.71,90,33,46,65,72,71,41,34,24,5,0,49,69,74,74,44,23,20,5,37,51,69,74,73,67,30,18,45,41,58,68,74,74,65,44,30,45,56,72,76,74,48,67,59,21,42,67,75,64,34,12,10,9,5,2.1554E8,1.0233E10,1.8919E10,2.3896E10,4.5866E9,3.6668E8,1.7909E8,7.3748E7,1.84E6,,8.509E9,2.939E10,3.0521E10,6.5762E9,5.2953E8,1.0428E8,9.2251E7,3.0789E6,8.2355E9,2.4673E10,4.5452E10,3.4305E10,1.2044E10,2.0135E9,2.7204E8,3.7819E7,2.419E8,1.4833E10,3.7235E10,5.9922E10,2.8422E10,8.9699E9,1.3719E9,5.237E8,1.9644E8,1.6521E10,4.0148E10,6.292E10,5.2955E10,1.8788E10,1.2035E9,3.3049E9,7.2502E8,1.6586E8,1.0703E10,1.5555E10,1.0917E10,2.7726E9,2.7952E8,1.2726E7,1.3879E7,3.2584E6,2.1924E6,158,158,28,53,122,178,139,31,24,12,2,0,65,145,203,161,38,10,7,2,85,157,262,295,220,99,17,8,34,127,221,316,291,200,75,37,14,134,236,324,350,276,50,121,47,11,49,116,158,114,31,5,4,3,2,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (ST); Methylation(K); 5 more,55928,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2
8,19,P00738|HPT_HUMAN,99.2,433.97,90,36,36,63,73,71,29,28,8,8,0,39,64,70,71,50,27,17,3,30,49,58,57,55,32,29,18,30,36,55,60,59,53,45,33,28,39,57,63,70,68,51,55,46,32,34,61,68,66,31,4,8,4,5,2.35E8,6.5177E9,1.8478E10,1.9664E10,2.7414E9,1.7665E8,1.0551E8,2.5727E7,4.1046E6,,6.5391E9,2.8114E10,2.6472E10,4.8426E9,3.8002E8,1.0713E8,7.1317E7,8.9184E5,4.4122E9,6.3827E9,1.6686E10,1.3216E10,3.8649E9,5.6196E8,1.4749E8,5.1409E7,1.5567E8,6.8069E9,1.5811E10,3.5248E10,1.804E10,4.1975E9,3.8592E8,2.727E8,1.296E8,1.7955E10,1.5976E10,4.4356E10,2.9718E10,9.3688E9,3.2819E8,1.0553E9,2.9622E8,1.6374E8,1.6072E9,1.2539E10,7.7247E9,1.3913E9,1.5451E8,6.0507E6,6.4146E6,4.942E6,3.3378E6,140,85,19,55,119,125,103,17,16,4,3,0,52,157,133,115,38,12,6,1,50,89,124,116,73,40,17,12,19,77,139,243,139,91,45,34,20,103,154,300,200,150,50,74,42,22,36,87,84,75,19,2,4,2,2,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (Y); Phosphorylation (ST); 5 more,45205,Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1
17,24,P02671-2|FIBA_HUMAN,99.2,428.89,90,13,27,59,63,49,18,9,4,0,4,27,57,59,44,23,6,4,0,36,49,65,64,58,25,16,7,24,30,47,71,62,52,20,16,14,35,49,71,65,60,28,27,17,11,25,52,64,41,14,4,7,2,0,1.0953E8,3.2716E9,1.3097E10,1.8122E10,2.6495E9,1.8324E8,6.5442E7,3.8449E7,,4.4282E6,3.192E9,1.7258E10,2.2144E10,3.1551E9,3.1157E8,4.956E7,4.9623E7,,5.6301E9,1.2227E10,1.5971E10,7.425E9,1.2181E9,1.9625E8,3.1745E7,3.1502E7,1.1401E8,1.1117E10,2.1808E10,2.276E10,5.7066E9,1.1189E9,1.9326E8,1.5326E8,7.3385E7,1.267E10,2.0778E10,2.6755E10,9.8623E9,2.3096E9,3.404E8,3.5943E8,1.241E8,5.9293E7,2.3691E9,1.0637E10,7.5991E9,8.7169E8,7.1053E7,1.2435E7,1.8012E7,6.5004E6,,139,139,12,33,110,133,82,12,4,2,0,3,36,98,133,88,25,4,3,0,62,100,140,109,67,31,11,6,19,68,113,156,119,62,18,17,11,93,106,183,139,81,31,32,17,11,33,94,106,59,9,2,3,1,0,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (ST); Methylation(K); 4 more,69757,Isoform 2 of Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA
